"Mes","A�o","Estado Origen","Estado Destino","Ciudad Origen","Ciudad Destino","Compañia Transportadora","Tipo de Transporte","Tipo de combustible usado","Tipo de Movimiento","Costo(Pesos)","Carga Maxima(TON)","Rendimiento por litro","Costo del diesel","Tiempo en Transito"
"Noviembre",2014,"GT","SP","SILAO","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$5823.36",22,2.55,"$13.83",4
"Noviembre",2014,"GT","SP","SILAO","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$3542.40",22,2.55,"$13.83",4
"Noviembre",2014,"EM","QO","ECATEPEC","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$8735.96",22,2.55,"$13.83",3
"Noviembre",2014,"AG","QO","SAN FRANCISCO DE LOS ROMOS","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$11842.74",22,2.55,"$13.83",4
"Noviembre",2014,"PL","QO","CUAUTLANCINGO","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12326.05",22,2.55,"$13.83",6
"Noviembre",2014,"EM","QO","TOLUCA","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$7232.66",22,2.55,"$13.83",3
"Noviembre",2014,"QO","NL","QUERETARO","COLOMBIA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12000.00",22,2.55,"$13.83",20
"Noviembre",2014,"EM","CO","TECAMAC","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$24000.00",22,2.55,"$13.83",26
"Noviembre",2014,"GT","TM","IRAPUATO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$27648.00",22,2.55,"$13.83",20
"Noviembre",2014,"QO","PL","QUERETARO","PUEBLA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$14640.00",22,2.55,"$13.83",9
"Noviembre",2014,"SP","SP","SAN LUIS POTOSI","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$2046.30",22,2.55,"$13.83",1
"Noviembre",2014,"EM","TM","TOLUCA","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$36288.00",22,2.55,"$13.83",24
"Noviembre",2014,"NL","SR","APODACA","HERMOSILLO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$50484.67",22,2.55,"$13.83",40
"Noviembre",2014,"CH","CO","CIUDAD JUAREZ","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$32160.00",22,2.55,"$13.83",24
"Noviembre",2014,"QO","QO","QUERETARO","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$2626.56",22,2.55,"$13.83",1
"Noviembre",2014,"TM","QO","NUEVO LAREDO","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12867.77",22,2.55,"$13.83",16
"Noviembre",2014,"QO","TM","QUERETARO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12724.99",22,2.55,"$13.83",16
"Noviembre",2014,"SP","GT","SAN LUIS POTOSI","IRAPUATO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$3801.60",22,2.55,"$13.83",3
"Noviembre",2014,"SP","GT","SAN LUIS POTOSI","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$5270.40",22,2.55,"$13.83",3
"Noviembre",2014,"SP","GT","SAN LUIS POTOSI","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$4838.40",22,2.55,"$13.83",3
"Noviembre",2014,"SP","SR","VILLA DE REYES","CD. OBREGON","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$63072.00",22,2.55,"$13.83",36
"Noviembre",2014,"CH","CH","CHIHUAHUA","CIUDAD JUAREZ","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$11232.00",22,2.55,"$13.83",6
"Noviembre",2014,"TM","NL","NUEVO LAREDO","APODACA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$5529.60",22,2.55,"$13.83",4
"Noviembre",2014,"TM","SP","NUEVO LAREDO","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12441.60",22,2.55,"$13.83",15
"Noviembre",2014,"SP","GT","SAN LUIS POTOSI","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$5184.00",22,2.55,"$13.83",3
"Noviembre",2014,"ZS","TM","GUADALUPE","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$21168.00",22,2.55,"$13.83",16
"Noviembre",2014,"SP","SP","SAN LUIS POTOSI","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$2332.80",22,2.55,"$13.83",1
"Noviembre",2014,"NL","TM","ESCOBEDO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$5529.60",22,2.55,"$13.83",4
"Noviembre",2014,"TM","SP","NUEVO LAREDO","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12960.00",22,2.55,"$13.83",15
"Noviembre",2014,"TM","NL","NUEVO LAREDO","CIENEGA DE FLORES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$5011.20",22,2.55,"$13.83",4
"Noviembre",2014,"SP","GT","VILLA DE REYES","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$4640.40",22,2.55,"$13.83",4
"Noviembre",2014,"DG","TM","GOMEZ PALACIO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$13824.00",22,2.55,"$13.83",12
"Noviembre",2014,"TM","EM","NUEVO LAREDO","CUAUTITLAN","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$15600.00",22,2.55,"$13.83",24
"Noviembre",2014,"TM","CO","NUEVO LAREDO","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$5670.00",22,2.55,"$13.83",6
"Noviembre",2014,"SP","CO","VILLA DE REYES","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$12840.00",22,2.55,"$13.83",6
"Noviembre",2014,"QO","CO","QUERETARO","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$14640.00",22,2.55,"$13.83",10
"Noviembre",2014,"AG","TM","AGUASCALIENTES","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$25488.00",22,2.55,"$13.83",14
"Noviembre",2014,"TM","GT","NUEVO LAREDO","LEON","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12000.00",22,2.55,"$13.83",20
"Noviembre",2014,"JC","SP","GUADALAJARA","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$12096.00",22,2.55,"$13.83",9
"Noviembre",2014,"QO","TM","QUERETARO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$27648.00",22,2.55,"$13.83",16
"Noviembre",2014,"TM","NL","NUEVO LAREDO","APODACA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$4896.00",22,2.55,"$13.83",4
"Noviembre",2014,"CO","TM","RAMOS ARIZPE","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$11923.20",22,2.55,"$13.83",6
"Noviembre",2014,"CO","TM","TORREON","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$12051.68",22,2.55,"$13.83",10
"Noviembre",2014,"CO","TM","RAMOS ARIZPE","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$5616.00",22,2.55,"$13.83",6
"Noviembre",2014,"QO","SP","SANTA ROSA","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$4200.00",22,2.55,"$13.83",4
"Noviembre",2014,"CH","EM","CHIHUAHUA","LERMA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$43800.00",22,2.55,"$13.83",30
"Noviembre",2014,"SP","TM","SAN LUIS POTOSI","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$23893.01",22,2.55,"$13.83",16
"Noviembre",2014,"TM","CO","NUEVO LAREDO","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$8565.70",22,2.55,"$13.83",6
"Noviembre",2014,"CO","TM","RAMOS ARIZPE","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$7565.70",22,2.55,"$13.83",6
