Mes,A�o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa�ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Septiembre,2015,CO,NL,RAMOS ARIZPE,APODACA,CARRIER 3,48FT/53FT,Diesel ,Redondo,4200,22,2.65,12.24,2
Septiembre,2015,CO,NL,RAMOS ARIZPE,APODACA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,4960,22,2.65,12.24,2
Septiembre,2015,CO,NL,RAMOS ARIZPE,APODACA,TRANSPORTES MON-RO S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,4500,22,2.65,12.24,2
Septiembre,2015,CO,NL,TORREON,MONTERREY,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,9500,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,CARRIER 1,48FT/53FT,Diesel ,Sencillo,7000,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,CARRIER 2,48FT/53FT,Diesel ,Redondo,9600,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,CARRIER 3,48FT/53FT,Diesel ,Redondo,10600,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,7000,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,TRANSPORTES COLUNGA S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,6400,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,CARRIER 1,48FT/53FT,Diesel ,Sencillo,5350,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,CARRIER 2,48FT/53FT,Diesel ,Sencillo,5500,22,2.65,12.24,6
Septiembre,2015,CO,NL,TORREON,MONTERREY,CARRIER 3,48FT/53FT,Diesel ,Sencillo,6000,22,2.65,12.24,6
Septiembre,2015,CO,NL,PIEDRAS NEGRAS,MONTERREY,CARRIER 1,48FT/53FT,Diesel ,Sencillo,6500,22,2.65,12.24,7
Septiembre,2015,CO,NL,PIEDRAS NEGRAS,MONTERREY,CARRIER 2,48FT/53FT,Diesel ,Sencillo,9000,22,2.65,12.24,7
Septiembre,2015,CO,NL,PIEDRAS NEGRAS,MONTERREY,CARRIER 3,48FT/53FT,Diesel ,Sencillo,9500,22,2.65,12.24,7
Septiembre,2015,CO,CO,TORREON,RAMOS ARIZPE,CARRIER 1,48FT/53FT,Diesel ,Sencillo,5000,22,2.65,12.24,3
Septiembre,2015,CO,CO,TORREON,RAMOS ARIZPE,CARRIER 2,48FT/53FT,Diesel ,Sencillo,5500,22,2.65,12.24,3
Septiembre,2015,CO,CO,TORREON,RAMOS ARIZPE,CARRIER 3,48FT/53FT,Diesel ,Sencillo,6500,22,2.65,12.24,3
Septiembre,2015,CO,CO,TORREON,RAMOS ARIZPE,CARRIER 1,48FT/53FT,Diesel ,Redondo,9450,22,2.65,12.24,3
Septiembre,2015,CO,CO,TORREON,RAMOS ARIZPE,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,8500,22,2.65,12.24,5
Septiembre,2015,CO,AG,RAMOS ARIZPE,AGUASCALIENTES,INTLOGIS S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,7700,22,2.65,12.24,7
Septiembre,2015,AG,DF,AGUASCALIENTES,CIUDAD DE MEXICO,CARRIER 1,48FT/53FT,Diesel ,Redondo,21000,22,2.65,12.24,9
Septiembre,2015,AG,DF,AGUASCALIENTES,CIUDAD DE MEXICO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,18500,22,2.65,12.24,9
